name,price,point,shipping,mall
"[쿠폰가37,320원][11톡10%] 종근당건강 rTG 오메가3 2박스 총120캡슐 / 프로메가 알티","46,900",938P,무료배송,종근당건강본사직영
[이마트몰][19년산] 이맛쌀 20kg,"50,870","1,017P",무료배송,emartmall
[페브리즈] 여름맞이 전라인업 베스트셀러 프로모션 + 특별 사은품 랜덤 증정,"14,900",298P,무료배송,피앤지직영스토어
[온더리버]37%쿠폰+T22%+예쁨덤! 가을신상총집합! 원피스/블라우스/팬츠/자켓/티셔츠/,"9,900",198P,무료배송,[온더리버]
필그림 본사! 백화점 신상 하루만 비밀세일 + 사은품 메이플라워/꽃귀걸,"16,000",800P,무료배송,tribons
(주문폭주)실구매44만대 재고보유! 레노버 아이디어패드 Slim3-14IML 5DX i5 + MX330,"499,000",800P,무료배송,위드진2019
[아이허브] 베스트셀러 모음! 비타민 유산균 오메가3 캘리포니아골드 나우푸드 자로우,"12,500",250P,무료배송,iHerb
[휠라/카파]FW 운동화/맨투맨/트레이닝복/가방 간절기 상품 모음!,"13,500",270P,무료배송,메가엠
11st 19년산 임실농협 행복드림 20kg / 최근도정,"46,920",938P,무료배송,NS홈쇼핑
공식인증 마이크로SD카드 EVO PLUS 512GB MB-MC512HA/KR,"94,000","2,820P",무료배송,삼성온라인파트너
"[20%+11%]남자피부 올인원 단, 하나로 끝! 싸이닉 전상품 BIG SALE!","9,900",198P,무료배송,scinic
캐나다 오메가3 영양제 1200mg 6개월분,"20,800",416P,무료배송,인테로
[최종혜택가8.3만원대]삼성전자 23L 세라믹 전자렌지 MS23K3523AW 인증점,"87,900",416P,무료배송,삼성공식파트너KDL
[30%쿠폰] 3M 표준형 베이직 더블액션 물걸레 청소포 150매 외 청소포 모음,"28,500",570P,무료배송,mmmonline
[에이와비]30%쿠폰!키커보이고 길어보이는 키작녀쇼핑몰!후기극찬!키작녀쇼핑몰!단독!,"14,900",298P,무료배송,에이와비
종가집 전라도 포기김치(행복이온) 10kg,"50,900","2,545P",무료배송,종가집공식대리점
[20%+10% 할인쿠폰] 2020 신안 햇 새우 1kg 40미내외 대하 활새우 흰다리,"22,900","1,145P",무료배송,은하수산
[바로생수] 아워홈 지리산수 2L x 24병,"11,600",232P,무료배송,아워홈공식샵
새싹보리/상황버섯/도라지 먹고자란 유정란 청초한닭 동물복지 무항생제 20구 30구 40,"10,500",210P,무료배송,청초한닭
[CJ제일제당]비비고 냉동면 잡채/칼국수/짜장/짬뽕 외+[증정]수제 고기만두+닭갈비볶음,"15,650",313P,무료배송,CJ제일제당온라인공식판매처
"[감동]지리산 햇 밤 2kg,3kg 중크기/특크기","11,190",223P,무료배송,신세계몰
[리바트]뉴시나몬 원목 스툴,"42,250",845P,무료배송,현대리바트
[다우니] 타이니탄|어도러블 섬유유연제 특가 프로모션 + 특별 사은품,"18,900",378P,무료배송,피앤지직영스토어
베베숲 프리미어 70매 캡 20팩,"28,900",578P,무료배송,CJmall
[나주영산포농협] 20년 세척 햇 황토 꿀밤고구마 3kg 5kg,"18,900",378P,무료배송,농협경제지주농산물가게
[바로생수] 스파클 생수 2L 30개,"13,900",278P,무료배송,스파클생수
[프리메라] #클렌징 2배로 즐기기! 롤링필링 클렌징 밤 / 마일드필링 외 BEST! ~UPTO,"19,550",391P,무료배송,AmorePacific
[CJ제일제당] 다담 양념 최대15개 골라담기_된장찌개/청국장/순두부 외+[증정]된장찌개,"13,900",278P,무료배송,CJ제일제당온라인공식판매처
이고진 웨이트 스텝퍼 9120 계단오르기 스탭퍼,"61,600","3,080P",무료배송,이고진헬스
로지텍코리아 G433 7.1채널 게임용헤드셋 마이크 A/S 2년,"59,900","3,080P",무료배송,하드전문점
"[아이허브] 스포츠리서치 오메가3 피쉬오일 180캡슐, Sports Research 3배강도 트리글","54,200","1,084P",무료배송,iHerb
로지텍G G102 2세대 LIGHTSYNC 게이밍 마우스 벌크 병행,"20,400","1,084P",무료배송,가온몰
[태풍몰]동서 화이트골드/모카골드 400T [커피/커피믹스/믹스커피/카누/라떼],"40,900",818P,무료배송,태풍몰
[일동후디스] [싱글세트] 하이뮨 프로틴밸런스(296g*6통),"136,800","2,736P",무료배송,롯데홈쇼핑
